state	Upper-Lin_II	Lower-Lin_I	Lower-Lin_IV	Upper-Lin_IV	Upper-Lin_I	Lower-Lin_III	Upper-Lin_III
939500000	1775.903258	1903.808033	2003.301485	1971.812630	1840.124374	2000.064200	1893.437565
939600000	1828.992340	1908.733447	2004.097168	1972.629074	1797.175172	1975.775834	1914.471206
939700000	1892.277004	1935.790820	2002.691657	1981.384327	1829.465270	1994.637909	1931.223440
939800000	1887.853199	1935.375934	2002.039972	1980.969023	1834.972924	2003.588468	1923.534586
939900000	1885.171816	1936.038839	2006.242224	1974.336811	1840.386952	2002.869090	1902.547381
940000000	1864.719229	1934.015146	2006.226068	1981.665962	1833.454962	1986.592330	1908.653224
940100000	1818.852864	1909.345604	2003.378405	1979.758175	1794.519982	1995.757149	1933.077097
940200000	1865.091148	1927.133353	1999.980399	1973.908584	1780.611959	1976.544561	1911.175592
940300000	1868.465086	1914.139680	1991.252300	1974.100187	1811.078619	1986.051857	1892.993705
940400000	1816.959756	1878.550066	2003.950127	1979.115804	1801.580340	1994.054014	1902.663616
940500000	1820.375459	1917.557481	1993.762462	1981.819378	1820.426110	1996.702648	1932.794324
940600000	1835.872181	1915.735610	1995.221531	1977.797702	1812.678481	1987.490699	1879.244457
940700000	1867.199550	1914.096549	1997.640095	1977.499182	1798.929132	1991.598249	1903.935736
940800000	1861.778677	1887.855285	1998.729421	1979.672754	1782.462362	1998.017167	1914.294981
940900000	1873.151979	1899.716072	2000.054995	1981.966043	1797.770001	1992.979692	1910.930445
941000000	1855.544244	1924.181325	1999.716814	1979.940918	1831.814849	1990.913454	1942.856700
941100000	1823.364855	1917.738006	2007.608464	1978.324532	1806.773357	1991.828950	1936.940509
941200000	1856.070883	1902.370874	2000.642087	1978.876468	1785.657453	2004.215750	1947.245456
941300000	1853.105245	1912.259088	2001.497811	1981.673951	1805.650889	1990.004604	1922.217755
941400000	1903.190261	1932.092636	2001.152687	1980.806775	1806.781264	2001.811028	1935.616899
